kota_kabupaten_id,nama,url
6209,Kabupaten Lamandau,http://lamandaukab.go.id/portal/
6210,Kabupaten Gunung Mas,https://gunungmaskab.go.id/
6211,Kabupaten Pulang Pisau,http://pulangpisaukab.go.id/
6212,Kabupaten Murung Raya,http://murungrayakab.go.id/
6213,Kabupaten Barito Timur,http://baritotimurkab.go.id/
6271,Kota Palangkaraya,https://palangkaraya.go.id/
6301,Kabupaten Tanah Laut,https://portal.tanahlautkab.go.id/
6302,Kabupaten Kotabaru,https://kotabarukab.go.id
6303,Kabupaten Banjar,https://banjarkab.go.id
6304,Kabupaten Barito Kuala,https://baritokualakab.go.id
6305,Kabupaten Tapin,https://web.tapinkab.go.id
6306,Kabupaten Hulu Sungai Selatan,https://hulusungaiselatankab.go.id
6307,Kabupaten Hulu Sungai Tengah,http://hulusungaitengahkab.go.id
6308,Kabupaten Hulu Sungai Utara,https://www.hsu.go.id/
6309,Kabupaten Tabalong,https://portal.tabalongkab.go.id
6310,Kabupaten Tanah Bumbu,https://tanahbumbukab.go.id/
6311,Kabupaten Balangan,https://balangankab.go.id
6371,Kota Banjarmasin,https://banjarmasinkota.go.id
6372,Kota Banjarbaru,https://banjarbarukota.go.id
6401,Kabupaten Paser,https://paserkab.go.id
6402,Kabupaten Kutai Kartanegara,https://kukarkab.go.id/
6403,Kabupaten Berau,https://beraukab.go.id
6407,Kabupaten Kutai Barat,https://kutaibaratkab.go.id
6408,Kabupaten Kutai Timur,https://kutaitimurkab.go.id
6409,Kabupaten Penajam Paser Utara,https://penajamkab.go.id/
6411,Kabupaten Mahakam Ulu,https://mahakamulukab.go.id
6471,Kota Balikpapan,https://balikpapan.go.id
6472,Kota Samarinda,https://samarindakota.go.id
6474,Kota Bontang,https://bontangkota.go.id
6501,Kabupaten Bulungan,https://bulungan.go.id/
6502,Kabupaten Malinau,https://malinau.go.id/en
6503,Kabupaten Nunukan,https://nunukankab.go.id
6504,Kabupaten Tana Tidung,https://tanatidungkab.go.id
6571,Kota Tarakan,https://tarakankota.go.id
7101,Kabupaten Bolaang Mongondow,https://bolmongkab.go.id/
7102,Kabupaten Minahasa,https://minahasa.go.id
7103,Kabupaten Kepulauan Sangihe,
7104,Kabupaten Kepulauan Talaud,
7105,Kabupaten Minahasa Selatan,
7106,Kabupaten Minahasa Utara,
7107,Kabupaten Minahasa Tenggara,
7108,Kabupaten Bolaang Mongondow Utara,
7109,Kabupaten Kep. Siau Tagulandang Biaro,
7110,Kabupaten Bolaang Mongondow Timur,
7111,Kabupaten Bolaang Mongondow Selatan,
7171,Kota Manado,https://manadokota.go.id
7172,Kota Bitung,https://bitungkota.go.id
7173,Kota Tomohon,https://tomohon.go.id
7174,Kota Kotamobagu,https://kotamobagu.go.id
7201,Kabupaten Banggai,https://banggaikab.go.id
7202,Kabupaten Poso,https://posokab.go.id
7203,Kabupaten Donggala,https://donggala.go.id
7204,Kabupaten Toli-Toli,https://tolitolikab.go.id
7205,Kabupaten Buol,https://buolkab.go.id
7206,Kabupaten Morowali,https://morowalikab.go.id
7207,Kabupaten Banggai Kepulauan,
7208,Kabupaten Parigi Moutong,https://parigimoutongkab.go.id
7209,Kabupaten Tojo Una Una,https://tojounauna.go.id
7210,Kabupaten Sigi,https://sigikab.go.id
7211,Kabupaten Banggai Laut,https://banggailautkab.go.id
7212,Kabupaten Morowali Utara,https://morowaliutarakab.go.id/welcome/index
7271,Kota Palu,https://palukota.go.id
7301,Kabupaten Kepulauan Selayar,https://kepulauanselayarkab.go.id
7302,Kabupaten Bulukumba,https://bulukumbakab.go.id
7303,Kabupaten Bantaeng,
7304,Kabupaten Jeneponto,https://jenepontokab.go.id
7305,Kabupaten Takalar,https://takalarkab.go.id
7306,Kabupaten Gowa,https://gowakab.go.id
7307,Kabupaten Sinjai,https://sinjaikab.go.id/web
7308,Kabupaten Bone,https://bone.go.id
7309,Kabupaten Maros,
7310,Kabupaten Pangkajene dan Kepulauan,
7311,Kabupaten Barru,https://barrukab.go.id
7312,Kabupaten Soppeng,https://soppeng.go.id
7313,Kabupaten Wajo,
7314,Kabupaten Sidenreng Rappang,
7315,Kabupaten Pinrang,https://pinrangkab.go.id
7316,Kabupaten Enrekang,https://enrekangkab.go.id
7317,Kabupaten Luwu,https://luwukab.go.id
7318,Kabupaten Tana Toraja,
7322,Kabupaten Luwu Utara,https://luwuutarakab.go.id
7324,Kabupaten Luwu Timur,https://luwutimurkab.go.id
7326,Kabupaten Toraja Utara,https://torajautarakab.go.id
7371,Kota Makassar,
7372,Kota Parepare,https://pareparekota.go.id
7373,Kota Palopo,https://palopokota.go.id
7401,Kabupaten Kolaka,https://kolakakab.go.id
7402,Kabupaten Konawe,https://konawekab.go.id
7403,Kabupaten Muna,
7404,Kabupaten Buton,https://butonkab.go.id
7405,Kabupaten Konawe Selatan,http://konaweselatankab.go.id
7406,Kabupaten Bombana,https://bombanakab.go.id
7407,Kabupaten Wakatobi,https://wakatobikab.go.id
7408,Kabupaten Kolaka Utara,
7409,Kabupaten Konawe Utara,https://konaweutarakab.go.id
7410,Kabupaten Buton Utara,https://butonutarakab.go.id
7411,Kabupaten Kolaka Timur,https://kolakatimurkab.go.id
7412,Kabupaten Konawe Kepulauan,
7413,Kabupaten Muna Barat,https://munabaratkab.go.id
7414,Kabupaten Buton Tengah,
