id,nama,lat,lng,kecamatan_id
1101032004,Sialang,3.060201146728973,97.32835072017564,110103
1101032005,Kapeh,3.0625435887520314,97.33629803073791,110103
1101032006,Pulo Ie,3.0686406810151623,97.33625821152673,110103
1101032007,Kedai Runding,3.0666829938643447,97.34934581854331,110103
1101032008,Kedai Kandang,3.064726193726217,97.3235151391636,110103
1101032009,Gampong Luar,3.0647251102859836,97.32701063299596,110103
1101032010,Ujung,3.0661216198666374,97.33043140050975,110103
1101032011,Jua,3.0698944880274595,97.3289425062483,110103
1101032012,Pasi Meurapat,3.0709321985902274,97.32327419617269,110103
1101032013,Ujung Pasir,3.079104966496413,97.32865997600044,110103
1101032014,Geulumbuk,3.074904430721587,97.33699303596727,110103
1101032015,Pasie Lembang,3.0413674832677233,97.440956821794,110103
1101032016,Ujung Padang,3.0340534666066965,97.3435584693353,110103
1101032017,Indra Damai,3.050785170215211,97.35528245085618,110103
1101042001,Bakau Hulu,3.5491099624676394,97.01583946913013,110104
1101042002,Padang Bakau,3.538594175451882,97.00796036289431,110104
1101042003,Manggis Harapan,3.5556849913348603,97.00966717086243,110104
1101042004,Pasar Lama,3.548755102662544,96.99729515189485,110104
1101042005,Apha,3.552759322920232,96.99564304377961,110104
1101042006,Ujung Batu,3.559670392982872,97.00273527209622,110104
1101042007,Pawoh,3.556357636285513,96.99062757519317,110104
1101042008,Dalam,3.558624439348514,96.99295885691242,110104
1101042009,Kota Palak,3.5600666976649236,96.99324992440445,110104
1101042010,Cacang,3.5615662422066934,96.99822277401081,110104
1101042011,Tengah Pisang,3.5634662971811704,96.99505232869555,110104
1101042012,Pisang,3.6179754259337957,97.084535286239,110104
1101042013,Hulu Pisang,3.5781942624446827,97.00385224094875,110104
1101042014,Tengah Baru,3.576336609086234,96.99483132885497,110104
1101042015,Lembah Baru,3.5589976923248194,96.98317081968004,110104
1101042016,Padang Baru,3.561204513315683,96.98222892475246,110104
1101052001,Kuta Buloh Ii,3.4721808379483083,97.05573436327087,110105
1101052002,Kuta Buloh I,3.474926412326493,97.06039410357619,110105
1101052003,Ie Dingen,3.4787863974087854,97.07261412773012,110105
1101052004,Drien Jalo,3.485707654664396,97.08217769183292,110105
1101052005,Jambo Papeun,3.5753839171151722,97.19011635786138,110105
1101052006,Buket Meuh,3.536140129001758,97.08461085449447,110105
1101052007,Blang Kuala,3.4813415123272793,97.04857635997556,110105
1101052008,Rot Teungoh,3.4882474661941827,97.05929931510397,110105
1101052009,Alue Baro,3.504293947364194,97.06496661512871,110105
1101052010,Ladang Tuha,3.4954194010045216,97.04919973053345,110105
1101052011,Lhok Mamplam,3.4984866772160292,97.04130539991822,110105
1101052012,Arun Tunggai,3.4668236002935005,97.05292316844364,110105
1101052013,Blang Teungoh,3.4693643703838823,97.07811712346806,110105
1101052014,Blang Bladeh,3.4678402946651525,97.06126552403833,110105
1101052015,Ie Buboh,3.461775447977529,97.08352451973838,110105
1101052016,Keude Meukek,3.4590322805643097,97.05416037316365,110105
1101052017,Kuta Baro,3.460146652879944,97.06179829948827,110105
1101052018,Tanjung Harapan,3.452339591128813,97.0673589864081,110105
1101052019,Labuhan Tarok,3.448980606788918,97.08157103857194,110105
1101052020,Lhok Aman,3.4302503856753286,97.08029780411074,110105
1101052021,Alue Meutuah,3.43082284578106,97.09288334086338,110105
1101052022,Ladang Baro,3.442410186346373,97.08852218802181,110105
1101052023,Labuhan Tarok Ii,3.4363329363503476,97.06959581589179,110105
